ENSG00000129673	2.3.1.87
ENSG00000090861	6.1.1.7
ENSG00000183044	2.6.1.19
ENSG00000002726	1.4.3.22
ENSG00000060971	2.3.1.16
ENSG00000167315	2.3.1.16
ENSG00000132142	6.4.1.2
ENSG00000076555	6.4.1.2
ENSG00000115361	1.3.99.13
ENSG00000117054	1.3.99.3
ENSG00000122971	1.3.8.1
ENSG00000196177	1.3.99.-
ENSG00000075239	2.3.1.9
ENSG00000120437	2.3.1.9
ENSG00000087085	3.1.1.7
ENSG00000122729	4.2.1.3
ENSG00000100412	4.2.1.3
ENSG00000161533	1.3.3.6
ENSG00000168306	1.17.99.3
ENSG00000087008	1.3.3.6
ENSG00000143727	3.1.3.2
ENSG00000134575	3.1.3.2
ENSG00000102575	3.1.3.2
ENSG00000014257	3.1.3.2
ENSG00000100312	3.4.21.10
ENSG00000243989	3.5.1.14
ENSG00000119640	3.6.1.7
ENSG00000170634	3.6.1.7
ENSG00000196839	3.5.4.4
ENSG00000156140	3.4.24.-
ENSG00000160710	3.5.4.-
ENSG00000197381	3.5.-.-
ENSG00000185736	3.5.-.-
ENSG00000164742	4.6.1.1
ENSG00000078295	4.6.1.1
ENSG00000138031	4.6.1.1
ENSG00000129467	4.6.1.1
ENSG00000173175	4.6.1.1
ENSG00000174233	4.6.1.1
ENSG00000121281	4.6.1.1
ENSG00000155897	4.6.1.1
ENSG00000162104	4.6.1.1
ENSG00000187758	1.1.1.1
ENSG00000196616	1.1.1.1
ENSG00000248144	1.1.1.1
ENSG00000198099	1.1.1.1
ENSG00000197894	1.1.1.284
ENSG00000172955	1.1.1.1
ENSG00000196344	1.1.1.1
ENSG00000156110	2.7.1.20
ENSG00000143799	2.4.2.30
ENSG00000041880	2.4.2.30
ENSG00000239900	4.3.2.2
ENSG00000035687	6.3.4.4
ENSG00000038002	3.5.1.26
3.2.1.33	2.4.1.25,
ENSG00000169692	2.3.1.51
ENSG00000160216	2.3.1.51
ENSG00000018510	2.5.1.26
2.6.1.51	2.6.1.44,
ENSG00000101444	3.3.1.1
ENSG00000106992	2.7.4.3
ENSG00000004455	2.7.4.3
ENSG00000162433	2.7.4.3
ENSG00000117448	1.1.1.2
ENSG00000085662	1.1.1.21
ENSG00000122787	1.3.99.6
ENSG00000142208	2.7.11.1
ENSG00000105221	2.7.11.1
ENSG00000117020	2.7.11.1
ENSG00000148218	4.2.1.24
ENSG00000023330	2.3.1.37
ENSG00000158578	2.3.1.37
1.2.1.3	1.2.1.36,
ENSG00000072210	1.2.1.3
ENSG00000111275	1.2.1.3
ENSG00000108602	1.2.1.5
ENSG00000159423	1.5.1.12
ENSG00000137124	1.2.1.3
ENSG00000112294	1.2.1.24
ENSG00000184254	1.2.1.5
ENSG00000006534	1.2.1.5
ENSG00000132746	1.2.1.5
ENSG00000149925	4.1.2.13
ENSG00000136872	4.1.2.13
ENSG00000109107	4.1.2.13
ENSG00000108839	1.13.11.31
ENSG00000179477	1.13.11.-
ENSG00000161905	1.13.11.33
ENSG00000179593	1.13.11.33
ENSG00000163295	3.1.3.1
ENSG00000162551	3.1.3.1
ENSG00000163283	3.1.3.1
ENSG00000242110	5.1.99.4
ENSG00000123505	4.1.1.50
ENSG00000116748	3.5.4.6
