HGNC ID	Entrez Gene ID	UniProt ID (mapped data supplied by UniProt)	Ensembl ID (mapped data supplied by Ensembl)
HGNC:5	1	P04217	ENSG00000121410
HGNC:37133	503538		
HGNC:24086	29974	Q9NQ94	ENSG00000148584
HGNC:6			
HGNC:7	2	P01023	ENSG00000175899
HGNC:27057	144571		ENSG00000245105
HGNC:23336	144568	A8K2U0	ENSG00000166535
HGNC:41022			ENSG00000256661
HGNC:41523			ENSG00000256904
HGNC:8	3		ENSG00000256069
HGNC:10			
HGNC:9			
HGNC:30005	127550		ENSG00000184389
HGNC:18149	53947	Q9NPC4	ENSG00000128274
HGNC:17968	51146	Q9UNA3	ENSG00000118017
HGNC:1			
HGNC:2			
HGNC:3			
HGNC:4			
HGNC:13666	8086	Q9NRG9	ENSG00000094914
HGNC:12			
HGNC:13			
HGNC:14			
HGNC:15	11		ENSG00000253937
HGNC:21298	65985	Q86V21	ENSG00000081760
HGNC:18226	729522		ENSG00000250420
HGNC:13792			
HGNC:17	13	P22760	ENSG00000114771
HGNC:24427	344752	Q6P093	ENSG00000197953
HGNC:32037	126767	Q5VUY0	ENSG00000188984
HGNC:32038	343066	Q5VUY2	ENSG00000204518
HGNC:17929	51166	Q8N5Z0	ENSG00000109576
HGNC:16881	195827	Q7RTV5	ENSG00000158122
HGNC:25662	79719	Q6PD74	ENSG00000103591
HGNC:19679	22848	Q2M2I8	ENSG00000115977
HGNC:30205	28971	Q9H7C9	ENSG00000087884
HGNC:18	14	Q13685	ENSG00000127837
HGNC:19	15	Q16613	ENSG00000129673
HGNC:15886	25980	Q9Y312	ENSG00000131043
HGNC:33842	441376	Q4LEZ3	ENSG00000205002
HGNC:20	16	P49588	ENSG00000090861
HGNC:21022	57505	Q5JTZ9	ENSG00000124608
HGNC:28417	80755	Q9BTE6	ENSG00000108825
HGNC:23993	132949	Q4L235	ENSG00000157426
HGNC:14235	60496	Q9NRN7	ENSG00000149313
HGNC:17366	10157	Q9UDR5	ENSG00000008311
HGNC:19235	26574	Q9NY61	ENSG00000108270
HGNC:21	9625	Q6ZMQ8	ENSG00000181409
HGNC:40053	388428		ENSG00000225180
HGNC:22	17		
HGNC:11			
HGNC:23	18	P80404	ENSG00000183044
HGNC:24			
HGNC:25			
HGNC:26			
HGNC:28			
HGNC:27			
HGNC:29	19	O95477	ENSG00000165029
HGNC:32	20	Q9BZC7	ENSG00000107331
HGNC:33	21	Q99758	ENSG00000167972
HGNC:34	24	P78363	ENSG00000198691
HGNC:35	23461	Q8WWZ7	ENSG00000154265
HGNC:36	23460	Q8N139	ENSG00000154262
HGNC:37	10347	Q8IZY2	ENSG00000064687
HGNC:38	10351	O94911	ENSG00000141338
HGNC:39	10350	Q8IUA7	ENSG00000154258
HGNC:39983			ENSG00000231749
HGNC:30	10349	Q8WWZ4	ENSG00000154263
HGNC:31	79963	Q4W5N1	ENSG00000251595
HGNC:14637	26154	Q86UK0	ENSG00000144452
HGNC:14638	154664	Q86UQ4	ENSG00000179869
