Approved Symbol	Approved Name	Previous Symbols	Previous Names	Synonyms	Name Synonyms	Ensembl ID(supplied by Ensembl)
A1BG	alpha-1-B glycoprotein					ENSG00000121410
A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	"non-protein coding RNA 181", "A1BG antisense RNA (non-protein coding)", "A1BG antisense RNA 1 (non-protein coding)"	FLJ23569		ENSG00000268895
A1CF	APOBEC1 complementation factor			ACF, ASP, ACF64, ACF65, APOBEC1CF		ENSG00000148584
A1S9T~withdrawn	symbol withdrawn, see UBA1					
A2M	alpha-2-macroglobulin			FWP007, S863-7, CPAMD5		ENSG00000175899
A2M-AS1	A2M antisense RNA 1		"A2M antisense RNA 1 (non-protein coding)"			ENSG00000245105
A2ML1	alpha-2-macroglobulin-like 1	CPAMD9	"C3 and PZP-like, alpha-2-macroglobulin domain containing 9"	FLJ25179		ENSG00000166535
A2ML1-AS1	A2ML1 antisense RNA 1		"A2ML1 antisense RNA 1 (non-protein coding)"			ENSG00000256661
A2ML1-AS2	A2ML1 antisense RNA 2		"A2ML1 antisense RNA 2 (non-protein coding)"			ENSG00000256904
A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP	"alpha-2-macroglobulin pseudogene"			ENSG00000256069
A2MRAP~withdrawn	symbol withdrawn, see LRPAP1					
A2MR~withdrawn	symbol withdrawn, see LRP1					
A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	"alpha 1,3-galactosyltransferase 2, pseudogene"	IGBS3S	"iGb3 synthase", "isoglobotriaosylceramide synthase"	ENSG00000184389
A4GALT	alpha 1,4-galactosyltransferase		"alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group)"	A14GALT, Gb3S, P(k)	"Gb3 synthase", "CD77 synthase", "globotriaosylceramide synthase", "lactosylceramide 4-alpha-galactosyltransferase"	ENSG00000128274
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase			alpha4GnT		ENSG00000118017
A12M1~withdrawn	entry withdrawn					
A12M2~withdrawn	entry withdrawn					
A12M3~withdrawn	entry withdrawn					
A12M4~withdrawn	entry withdrawn					
AAAS	achalasia, adrenocortical insufficiency, alacrimia		"achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)"		"aladin", "Allgrove, triple-A"	ENSG00000094914
AABT~withdrawn	entry withdrawn					
AAC1~withdrawn	symbol withdrawn, see NAT1					
