Ensembl Gene ID	Description
ENSOCUG00000016119	Synaptosomal-associated protein  [Source:UniProtKB/TrEMBL;Acc:G1TAX9]
ENSOCUG00000022188	ribosomal protein L30 [Source:HGNC Symbol;Acc:10333]
ENSOCUG00000009486	Alpha-S1-casein  [Source:UniProtKB/Swiss-Prot;Acc:P09115]
ENSOCUG00000024699	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TG37]
ENSOCUG00000000686	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SDU7]
ENSOCUG00000026443	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TGC6]
ENSOCUG00000022462	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TI65]
ENSOCUG00000008830	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SVZ9]
ENSOCUG00000013561	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1T5N5]
ENSOCUG00000011797	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SR84]
ENSOCUG00000014348	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1T783]
ENSOCUG00000010738	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SZV8]
ENSOCUG00000012028	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1T2G8]
ENSOCUG00000027753	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TK08]
ENSOCUG00000003204	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SJ83]
ENSOCUG00000026621	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TL69]
ENSOCUG00000011768	FERM and PDZ domain containing 2 [Source:HGNC Symbol;Acc:28572]
ENSOCUG00000026540	Alcohol dehydrogenase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q03505]
ENSOCUG00000007707	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1STM0]
ENSOCUG00000004369	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SLN1]
ENSOCUG00000002872	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SII1]
ENSOCUG00000025135	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TT13]
ENSOCUG00000005925	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SPY6]
ENSOCUG00000005076	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SN58]
ENSOCUG00000002878	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SII7]
ENSOCUG00000004793	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SMJ4]
ENSOCUG00000012238	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1T2W6]
ENSOCUG00000017250	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TDA5]
ENSOCUG00000026536	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TJR8]
ENSOCUG00000017859	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TEL0]
ENSOCUG00000027319	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TWV1]
