ENSG00000147403   RPL10
ENSG00000198755   RPL10A
ENSG00000142676   RPL11
ENSG00000197958   RPL12
ENSG00000167526   RPL13
ENSG00000142541   RPL13A
ENSG00000188846   RPL14
ENSG00000174748   RPL15
ENSG00000105640   RPL18A
ENSG00000108298   RPL19
ENSG00000122026   RPL21
ENSG00000116251   RPL22
ENSG00000125691   RPL23
ENSG00000198242   RPL23A
ENSG00000214026   RPL23L
ENSG00000114391   RPL24
ENSG00000161970   RPL26
ENSG00000162244   RPL29
ENSG00000100316   RPL3
ENSG00000071082   RPL31
ENSG00000144713   RPL32
ENSG00000109475   RPL34
ENSG00000136942   RPL35
ENSG00000182899   RPL35A
ENSG00000165502   RPL36AL
ENSG00000241343   RPL36A
ENSG00000145592   RPL37
ENSG00000197756   RPL37A
ENSG00000198918   RPL39
ENSG00000140986   RPL3L
ENSG00000174444   RPL4
ENSG00000229117   RPL41
ENSG00000122406   RPL5
ENSG00000147604   RPL7
ENSG00000148303   RPL7A
ENSG00000161016   RPL8
ENSG00000163682   RPL9
ENSG00000089157   RPLP0
ENSG00000137818   RPLP1
ENSG00000177600   RPLP2
ENSG00000037241   RPL26L1
ENSG00000163923   RPL39L
ENSG00000165496   RPL10L
ENSG00000163584   RPL22L1
ENSG00000089009   RPL6
ENSG00000265681   RPL17
ENSG00000063177   RPL18
ENSG00000131469   RPL27
ENSG00000166441   RPL27A
ENSG00000108107   RPL28
ENSG00000156482   RPL30
ENSG00000130255   RPL36
ENSG00000172809   RPL38
