% Notes to accompany the alignment of (tentative) orthologues
% for the canonical transcript of the human gene ENSG00000108846, 
% ATP-binding cassette, sub-family C (CFTR/MRP), member 3 [Source:HGNC Symbol;Acc:54]
%%
% The alignment shows the exons from the following genes: 
% species                         common_name                     gene_id                        
 human                           homo_sapiens                    ENSG00000108846                
 gorilla                         gorilla_gorilla                 ENSGGOG00000003404             
 chimpanzee                      pan_troglodytes                 ENSPTRG00000009406             
 orangutan                       pongo_abelii                    ENSPPYG00000008276             
 gibbon                          nomascus_leucogenys             ENSNLEG00000007875             
 gibbon_2                        nomascus_leucogenys             ENSNLEG00000007870             
 macaque                         macaca_mulatta                  ENSMMUG00000003414             
 marmoset                        callithrix_jacchus              ENSCJAG00000018609             
 tarsier                         tarsius_syrichta                ENSTSYG00000011928             
 lemur                           microcebus_murinus              ENSMICG00000009822             
 galago_lemur_3                  otolemur_garnettii              ENSOGAG00000034471             
 galago_lemur                    otolemur_garnettii              ENSOGAG00000004530             
 galago_lemur_2                  otolemur_garnettii              ENSOGAG00000032112             
 guinea_pig                      cavia_porcellus                 ENSCPOG00000013296             
 squirrel                        ictidomys_tridecemlineatus      ENSSTOG00000027974             
 mouse                           mus_musculus                    ENSMUSG00000020865             
 rat                             rattus_norvegicus               ENSRNOG00000002948             
 pika                            ochotona_princeps               ENSOPRG00000013477             
 rabbit                          oryctolagus_cuniculus           ENSOCUG00000002754             
 tree_shrew                      tupaia_belangeri                ENSTBEG00000006360             
 european_shrew                  sorex_araneus                   ENSSARG00000009747             
 madagascar_hedgehog             echinops_telfairi               ENSETEG00000009934             
 elephant                        loxodonta_africana              ENSLAFG00000007037             
 hyrax                           procavia_capensis               ENSPCAG00000009225             
 wallaby                         macropus_eugenii                ENSMEUG00000004456             
 opossum_2                       monodelphis_domestica           ENSMODG00000012730             
 opossum                         monodelphis_domestica           ENSMODG00000020910             
 tasmanian_devil                 sarcophilus_harrisii            ENSSHAG00000016312             
 platypus                        ornithorhynchus_anatinus        ENSOANG00000013332             
 anole_lizard_2                  anolis_carolinensis             ENSACAG00000001396             
 anole_lizard                    anolis_carolinensis             ENSACAG00000001383             
 chicken                         gallus_gallus                   ENSGALG00000007522             
 turkey                          meleagris_gallopavo             ENSMGAG00000008701             
 zebra_finch                     taeniopygia_guttata             ENSTGUG00000009151             
 turtle                          pelodiscus_sinensis             ENSPSIG00000011887             
 xenopus                         xenopus_tropicalis              ENSXETG00000012239             
 coelacanth_2                    latimeria_chalumnae             ENSLACG00000006619             
 coelacanth                      latimeria_chalumnae             ENSLACG00000007209             
 zebrafish                       danio_rerio                     ENSDARG00000077243             
 cod                             gadus_morhua                    ENSGMOG00000010029             
 stickleback                     gasterosteus_aculeatus          ENSGACG00000005901             
 medaka                          oryzias_latipes                 ENSORLG00000020741             
 platyfish                       xiphophorus_maculatus           ENSXMAG00000012203             
 tilapia                         oreochromis_niloticus           ENSONIG00000019586             
 fugu                            takifugu_rubripes               ENSTRUG00000002402             
 pufferfish                      tetraodon_nigroviridis          ENSTNIG00000004171             

% The following exons appear in the alignment

% sequence name: human   corresponding to the gene: ENSG00000108846 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
       ENSE00001340022           80         204     1       1            ensembl_havana_transcript   ENSE00001340022 
       ENSE00002937575        21055       21231     1       1            ensembl_havana_transcript   ENSE00002937575 
       ENSE00002863798        21925       22050     1       1            ensembl_havana_transcript   ENSE00002863798 
       ENSE00002884336        22269       22406     1       1            ensembl_havana_transcript   ENSE00002884336 
       ENSE00002908859        23305       23430     1       1            ensembl_havana_transcript   ENSE00002908859 
       ENSE00002864408        23658       23719     1       1            ensembl_havana_transcript   ENSE00002864408 
       ENSE00002804371        24460       24591     1       1            ensembl_havana_transcript   ENSE00002804371 
       ENSE00002809886        26146       26337     1       1            ensembl_havana_transcript   ENSE00002809886 
       ENSE00002889551        28904       29081     1       1            ensembl_havana_transcript   ENSE00002889551 
       ENSE00002758535        29173       29334     1       1            ensembl_havana_transcript   ENSE00002758535 
       ENSE00002840855        30376       30468     1       1            ensembl_havana_transcript   ENSE00002840855 
       ENSE00002839115        32777       32980     1       1            ensembl_havana_transcript   ENSE00002839115 
       ENSE00002764761        33086       33232     1       1            ensembl_havana_transcript   ENSE00002764761 
       ENSE00002838555        33653       33740     1       1            ensembl_havana_transcript   ENSE00002838555 
       ENSE00002808801        34076       34142     1       1            ensembl_havana_transcript   ENSE00002808801 
       ENSE00002825804        34363       34489     1       1            ensembl_havana_transcript   ENSE00002825804 
       ENSE00002880878        34575       34751     1       1            ensembl_havana_transcript   ENSE00002880878 
       ENSE00002754727        38194       38361     1       1            ensembl_havana_transcript   ENSE00002754727 
       ENSE00002853345        38692       38881     1       1            ensembl_havana_transcript   ENSE00002853345 
       ENSE00002777896        40585       40699     1       1            ensembl_havana_transcript   ENSE00002777896 
       ENSE00002797748        40854       40998     1       1            ensembl_havana_transcript   ENSE00002797748 
       ENSE00002897593        41106       41313     1       1            ensembl_havana_transcript   ENSE00002897593 
       ENSE00002753062        41501       41811     1       1            ensembl_havana_transcript   ENSE00002753062 
       ENSE00001109871        42967       43166     1       1            ensembl_havana_transcript   ENSE00001109871 
       ENSE00001304270        43316       43442     1       1            ensembl_havana_transcript   ENSE00001304270 
       ENSE00002942575        45021       45122     1       1            ensembl_havana_transcript   ENSE00002942575 
       ENSE00002737071        48833       48979     1       1            ensembl_havana_transcript   ENSE00002737071 
       ENSE00002758398        49172       49330     1       1            ensembl_havana_transcript   ENSE00002758398 
       ENSE00002974467        49932       50098     1       1            ensembl_havana_transcript   ENSE00002974467 
       ENSE00002762009        52759       52953     1       1            ensembl_havana_transcript   ENSE00002762009 
       ENSE00002485196        56315       57475     1       1            ensembl_havana_transcript   ENSE00002485196 

% sequence name: gorilla   corresponding to the gene: ENSGGOG00000003404 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSGGOE00000035368            0         124     1       1            ensembl   ENSE00001340022 
    ENSGGOE00000196504        23246       23422     1       1            ensembl   ENSE00002937575 
    ENSGGOE00000035379        24118       24243     1       1            ensembl   ENSE00002863798 
    ENSGGOE00000035387        24462       24599     1       1            ensembl   ENSE00002884336 
    ENSGGOE00000035393        25498       25623     1       1            ensembl   ENSE00002908859 
    ENSGGOE00000035401        25851       25912     1       1            ensembl   ENSE00002864408 
    ENSGGOE00000035407        26653       26784     1       1            ensembl   ENSE00002804371 
    ENSGGOE00000035412        28339       28530     1       1            ensembl   ENSE00002809886 
    ENSGGOE00000035417        31096       31273     1       1            ensembl   ENSE00002889551 
    ENSGGOE00000035422        31365       31526     1       1            ensembl   ENSE00002758535 
    ENSGGOE00000035427        32570       32662     1       1            ensembl   ENSE00002840855 
    ENSGGOE00000035431        34954       35157     1       1            ensembl   ENSE00002839115 
    ENSGGOE00000035438        35263       35409     1       1            ensembl   ENSE00002764761 
    ENSGGOE00000035444        35830       35917     1       1            ensembl   ENSE00002838555 
    ENSGGOE00000185613        36253       36319     1       1            ensembl   ENSE00002808801 
    ENSGGOE00000222422        36540       36666     1       1            ensembl   ENSE00002825804 
    ENSGGOE00000035469        36752       36928     1       1            ensembl   ENSE00002880878 
    ENSGGOE00000035476        40356       40523     1       1            ensembl   ENSE00002754727 
    ENSGGOE00000035483        40854       41043     1       1            ensembl   ENSE00002853345 
    ENSGGOE00000035490        42743       42857     1       1            ensembl   ENSE00002777896 
    ENSGGOE00000035497        43012       43156     1       1            ensembl   ENSE00002797748 
    ENSGGOE00000035502        43264       43471     1       1            ensembl   ENSE00002897593 
    ENSGGOE00000035507        43659       43969     1       1            ensembl   ENSE00002753062 
    ENSGGOE00000035513        45130       45329     1       1            ensembl   ENSE00001109871 
    ENSGGOE00000035520        45479       45605     1       1            ensembl   ENSE00001304270 
    ENSGGOE00000035526        47186       47287     1       1            ensembl   ENSE00002942575 
    ENSGGOE00000035532        51014       51160     1       1            ensembl   ENSE00002737071 
    ENSGGOE00000035537        51353       51511     1       1            ensembl   ENSE00002758398 
    ENSGGOE00000035542        52113       52279     1       1            ensembl   ENSE00002974467 
    ENSGGOE00000035547        54915       55109     1       1            ensembl   ENSE00002762009 
    ENSGGOE00000035553        58489       59098     1       1            ensembl   ENSE00002485196 

% sequence name: chimpanzee   corresponding to the gene: ENSPTRG00000009406 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSPTRE00000243425            0         124     1       1            ensembl   ENSE00001340022 
    ENSPTRE00000243426        19481       19657     1       1            ensembl   ENSE00002937575 
    ENSPTRE00000243427        20344       20469     1       1            ensembl   ENSE00002863798 
    ENSPTRE00000243428        20688       20825     1       1            ensembl   ENSE00002884336 
    ENSPTRE00000243429        21724       21849     1       1            ensembl   ENSE00002908859 
    ENSPTRE00000243430        22077       22138     1       1            ensembl   ENSE00002864408 
    ENSPTRE00000243431        22878       23009     1       1            ensembl   ENSE00002804371 
    ENSPTRE00000243432        24564       24755     1       1            ensembl   ENSE00002809886 
    ENSPTRE00000243433        28071       28248     1       1            ensembl   ENSE00002889551 
    ENSPTRE00000243434        28340       28501     1       1            ensembl   ENSE00002758535 
    ENSPTRE00000243435        29537       29629     1       1            ensembl   ENSE00002840855 
    ENSPTRE00000243436        31939       32142     1       1            ensembl   ENSE00002839115 
    ENSPTRE00000243437        32248       32394     1       1            ensembl   ENSE00002764761 
    ENSPTRE00000243438        32815       32902     1       1            ensembl   ENSE00002838555 
    ENSPTRE00000243439        33238       33304     1       1            ensembl   ENSE00002808801 
    ENSPTRE00000243440        33525       33651     1       1            ensembl   ENSE00002825804 
    ENSPTRE00000243441        33737       33913     1       1            ensembl   ENSE00002880878 
    ENSPTRE00000243442        37348       37515     1       1            ensembl   ENSE00002754727 
    ENSPTRE00000243443        37846       38035     1       1            ensembl   ENSE00002853345 
    ENSPTRE00000243444        39642       39756     1       1            ensembl   ENSE00002777896 
    ENSPTRE00000243445        39911       40055     1       1            ensembl   ENSE00002797748 
    ENSPTRE00000243446        40163       40370     1       1            ensembl   ENSE00002897593 
    ENSPTRE00000243447        40558       40868     1       1            ensembl   ENSE00002753062 
    ENSPTRE00000093666        42023       42222     1       1            ensembl   ENSE00001109871 
    ENSPTRE00000093672        42372       42498     1       1            ensembl   ENSE00001304270 
    ENSPTRE00000093684        44083       44184     1       1            ensembl   ENSE00002942575 

% sequence name: orangutan   corresponding to the gene: ENSPPYG00000008276 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSPPYE00000084443            0         185     1       1            ensembl   ENSE00001340022 
    ENSPPYE00000084444        16986       17162     1       1            ensembl   ENSE00002937575 
    ENSPPYE00000084445        17877       18002     1       1            ensembl   ENSE00002863798 
    ENSPPYE00000084446        18221       18358     1       1            ensembl   ENSE00002884336 
    ENSPPYE00000084447        19257       19382     1       1            ensembl   ENSE00002908859 
    ENSPPYE00000084448        19610       19671     1       1            ensembl   ENSE00002864408 
    ENSPPYE00000084449        20429       20560     1       1            ensembl   ENSE00002804371 
    ENSPPYE00000084450        22115       22306     1       1            ensembl   ENSE00002809886 
    ENSPPYE00000084451        24883       25060     1       1            ensembl   ENSE00002889551 
    ENSPPYE00000084452        25152       25313     1       1            ensembl   ENSE00002758535 
    ENSPPYE00000084453        26347       26439     1       1            ensembl   ENSE00002840855 
    ENSPPYE00000084454        29010       29213     1       1            ensembl   ENSE00002839115 
    ENSPPYE00000084455        29293       29439     1       1            ensembl   ENSE00002764761 
    ENSPPYE00000084456        29859       29946     1       1            ensembl   ENSE00002838555 
    ENSPPYE00000084457        30285       30351     1       1            ensembl   ENSE00002808801 
    ENSPPYE00000084458        30572       30698     1       1            ensembl   ENSE00002825804 
    ENSPPYE00000084459        30784       30960     1       1            ensembl   ENSE00002880878 
    ENSPPYE00000084460        34402       34569     1       1            ensembl   ENSE00002754727 
    ENSPPYE00000084461        34898       35087     1       1            ensembl   ENSE00002853345 
    ENSPPYE00000084462        36630       36744     1       1            ensembl   ENSE00002777896 
    ENSPPYE00000084463        36898       37042     1       1            ensembl   ENSE00002797748 
    ENSPPYE00000084464        37149       37356     1       1            ensembl   ENSE00002897593 
    ENSPPYE00000084465        37544       37854     1       1            ensembl   ENSE00002753062 
    ENSPPYE00000084466        39217       39416     1       1            ensembl   ENSE00001109871 
    ENSPPYE00000084467        39574       39700     1       1            ensembl   ENSE00001304270 
    ENSPPYE00000084468        41274       41375     1       1            ensembl   ENSE00002942575 
    ENSPPYE00000084469        45178       45324     1       1            ensembl   ENSE00002737071 
    ENSPPYE00000084470        45517       45675     1       1            ensembl   ENSE00002758398 
    ENSPPYE00000084471        46277       46443     1       1            ensembl   ENSE00002974467 
    ENSPPYE00000084472        49830       50024     1       1            ensembl   ENSE00002762009 
    ENSPPYE00000084473        53603       53711     1       1            ensembl   ENSE00002485196 

% sequence name: gibbon   corresponding to the gene: ENSNLEG00000007875 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
  nomascus_leucogenys_1_3       -39125      -39085     1       0            usearch, by sim to novel, otolemur_garnettii   ENSE00001340022 
    ENSNLEE00000088383            0         946     1       1            ensembl   ENSE00002942575 
    ENSNLEE00000088385         4756        4902     1       1            ensembl   ENSE00002737071 
    ENSNLEE00000088390         5095        5253     1       1            ensembl   ENSE00002758398 
    ENSNLEE00000088395         5855        6021     1       1            ensembl   ENSE00002974467 
    ENSNLEE00000088396         8640        8834     1       1            ensembl   ENSE00002762009 
    ENSNLEE00000088401        12399       12979     1       1            ensembl   ENSE00002485196 

% sequence name: gibbon_2   corresponding to the gene: ENSNLEG00000007870 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSNLEE00000088328            0         176     1       1            ensembl   ENSE00002937575 
    ENSNLEE00000088330          836         961     1       1            ensembl   ENSE00002863798 
    ENSNLEE00000088331         1178        1315     1       1            ensembl   ENSE00002884336 
    ENSNLEE00000088333         2184        2309     1       1            ensembl   ENSE00002908859 
    ENSNLEE00000088336         2538        2599     1       1            ensembl   ENSE00002864408 
    ENSNLEE00000088341         3338        3470     1       1            ensembl   ENSE00002804371 
    ENSNLEE00000088349         6557        6799     1       1            ensembl   ENSE00002839115 
    ENSNLEE00000088351         6905        7051     1       1            ensembl   ENSE00002764761 
    ENSNLEE00000088354         7472        7559     1       1            ensembl   ENSE00002838555 
    ENSNLEE00000088355         7898        7964     1       1            ensembl   ENSE00002808801 
    ENSNLEE00000088356         8184        8310     1       1            ensembl   ENSE00002825804 
    ENSNLEE00000088357         8396        8572     1       1            ensembl   ENSE00002880878 
    ENSNLEE00000088358        12475       12532     1       1            ensembl   ENSE00002754727 
    ENSNLEE00000088361        14860       15002     1       1            ensembl   ENSE00002777896 
    ENSNLEE00000088364        15156       15300     1       1            ensembl   ENSE00002797748 
    ENSNLEE00000088367        15408       15615     1       1            ensembl   ENSE00002897593 
    ENSNLEE00000088373        15803       16113     1       1            ensembl   ENSE00002753062 

% sequence name: macaque   corresponding to the gene: ENSMMUG00000003414 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSMMUE00000265521            0         114     1       1            ensembl   ENSE00001340022 
    ENSMMUE00000033363        22833       23009     1       1            ensembl   ENSE00002937575 
    ENSMMUE00000033364        23704       23829     1       1            ensembl   ENSE00002863798 
    ENSMMUE00000033367        24048       24185     1       1            ensembl   ENSE00002884336 
    ENSMMUE00000033368        25081       25206     1       1            ensembl   ENSE00002908859 
    ENSMMUE00000033369        25438       25499     1       1            ensembl   ENSE00002864408 
    ENSMMUE00000033370        26240       26371     1       1            ensembl   ENSE00002804371 
    ENSMMUE00000033371        27936       28127     1       1            ensembl   ENSE00002809886 
    ENSMMUE00000033372        30689       30866     1       1            ensembl   ENSE00002889551 
    ENSMMUE00000033373        30959       31120     1       1            ensembl   ENSE00002758535 
    ENSMMUE00000033374        32165       32257     1       1            ensembl   ENSE00002840855 
    ENSMMUE00000033375        34881       35084     1       1            ensembl   ENSE00002839115 
    ENSMMUE00000033377        35190       35336     1       1            ensembl   ENSE00002764761 
    ENSMMUE00000033378        35757       35844     1       1            ensembl   ENSE00002838555 
    ENSMMUE00000033379        36183       36249     1       1            ensembl   ENSE00002808801 
    ENSMMUE00000033382        36470       36596     1       1            ensembl   ENSE00002825804 
    ENSMMUE00000033383        36682       36858     1       1            ensembl   ENSE00002880878 
    ENSMMUE00000033384        40354       40521     1       1            ensembl   ENSE00002754727 
    ENSMMUE00000033385        40856       41042     1       1            ensembl   ENSE00002853345 
    ENSMMUE00000033386        42606       42720     1       1            ensembl   ENSE00002777896 
    ENSMMUE00000033387        42875       43019     1       1            ensembl   ENSE00002797748 
    ENSMMUE00000033388        43127       43334     1       1            ensembl   ENSE00002897593 
    ENSMMUE00000033389        43522       43832     1       1            ensembl   ENSE00002753062 
    ENSMMUE00000033397        45299       45498     1       1            ensembl   ENSE00001109871 
    ENSMMUE00000033398        45648       45774     1       1            ensembl   ENSE00001304270 
    ENSMMUE00000033404        47279       47380     1       1            ensembl   ENSE00002942575 
    ENSMMUE00000033405        51148       51294     1       1            ensembl   ENSE00002737071 
    ENSMMUE00000033407        51486       51644     1       1            ensembl   ENSE00002758398 
    ENSMMUE00000033410        52570       52736     1       1            ensembl   ENSE00002974467 
    ENSMMUE00000033413        55419       55613     1       1            ensembl   ENSE00002762009 
    ENSMMUE00000033414        58628       59228     1       1            ensembl   ENSE00002485196 

% sequence name: marmoset   corresponding to the gene: ENSCJAG00000018609 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSCJAE00000383582            0         122     1       0            ensembl   ENSE00001340022 
    ENSCJAE00000249968        19529       19768     1       1            ensembl   ENSE00002937575 
    ENSCJAE00000249797        20440       20565     1       1            ensembl   ENSE00002863798 
    ENSCJAE00000249811        20786       20923     1       1            ensembl   ENSE00002884336 
    ENSCJAE00000249818        21825       21950     1       1            ensembl   ENSE00002908859 
    ENSCJAE00000249827        22200       22261     1       1            ensembl   ENSE00002864408 
    ENSCJAE00000249833        23002       23133     1       1            ensembl   ENSE00002804371 
    ENSCJAE00000249973        24674       24871     1       1            ensembl   ENSE00002809886 
    ENSCJAE00000249850        27851       28028     1       1            ensembl   ENSE00002889551 
    ENSCJAE00000249857        28121       28282     1       1            ensembl   ENSE00002758535 
    ENSCJAE00000345478        28978       29083     1       1            ensembl   ENSE00002840855 
    ENSCJAE00000249893        32296       32442     1       1            ensembl   ENSE00002764761 
    ENSCJAE00000249896        32865       32952     1       1            ensembl   ENSE00002838555 
    ENSCJAE00000249901        33259       33325     1       1            ensembl   ENSE00002808801 
    ENSCJAE00000249910        33543       33669     1       1            ensembl   ENSE00002825804 
    ENSCJAE00000249996        33756       33932     1       1            ensembl   ENSE00002880878 
    ENSCJAE00000249924        37677       37844     1       1            ensembl   ENSE00002754727 
    ENSCJAE00000249928        38169       38358     1       1            ensembl   ENSE00002853345 
    ENSCJAE00000249936        39434       39548     1       1            ensembl   ENSE00002777896 
    ENSCJAE00000249942        39703       39847     1       1            ensembl   ENSE00002797748 
    ENSCJAE00000250002        39955       40264     1       1            ensembl   ENSE00002897593 
    ENSCJAE00000250015        42998       43197     1       1            ensembl   ENSE00001109871 
    ENSCJAE00000250022        43348       43474     1       1            ensembl   ENSE00001304270 
    ENSCJAE00000250027        45961       46062     1       1            ensembl   ENSE00002942575 
    ENSCJAE00000250037        49749       49895     1       1            ensembl   ENSE00002737071 
    ENSCJAE00000250042        50247       50405     1       1            ensembl   ENSE00002758398 
    ENSCJAE00000250047        51010       51176     1       1            ensembl   ENSE00002974467 
    ENSCJAE00000351325        54487       54681     1       1            ensembl   ENSE00002762009 
    ENSCJAE00000250058        58091       58696     1       1            ensembl   ENSE00002485196 

% sequence name: tarsier   corresponding to the gene: ENSTSYG00000011928 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSTSYE00000139741            0         176     1       1            ensembl_projection   ENSE00002937575 
    ENSTSYE00000139821          524         649     1       1            ensembl_projection   ENSE00002863798 
    ENSTSYE00000139845          853         990     1       1            ensembl_projection   ENSE00002884336 
    ENSTSYE00000139944         4325        4502     1       1            ensembl_projection   ENSE00002889551 
    ENSTSYE00000139970         4595        4756     1       1            ensembl_projection   ENSE00002758535 
    ENSTSYE00000139988         5473        5565     1       1            ensembl_projection   ENSE00002840855 
    ENSTSYE00000140003         7939        8142     1       1            ensembl_projection   ENSE00002839115 
    ENSTSYE00000140014         8265        8411     1       1            ensembl_projection   ENSE00002764761 
    ENSTSYE00000140162        14476       14575     1       1            ensembl_projection   ENSE00002777896 
    ENSTSYE00000140166        14744       14888     1       1            ensembl_projection   ENSE00002797748 
    ENSTSYE00000140171        15050       15257     1       1            ensembl_projection   ENSE00002897593 
    ENSTSYE00000140179        15423       15733     1       1            ensembl_projection   ENSE00002753062 
    ENSTSYE00000140184        16908       17107     1       1            ensembl_projection   ENSE00001109871 
    ENSTSYE00000140188        17256       17382     1       1            ensembl_projection   ENSE00001304270 
    ENSTSYE00000140192        18893       18994     1       1            ensembl_projection   ENSE00002942575 
    ENSTSYE00000140198        20046       20108     1       1            ensembl_projection   ENSE00002737071 
    ENSTSYE00000140201        20111       20191     1       1            ensembl_projection   ENSE00002737071 
    ENSTSYE00000140203        20391       20549     1       1            ensembl_projection   ENSE00002758398 
    ENSTSYE00000140205        24275       24467     1       1            ensembl_projection   ENSE00002762009 

% sequence name: lemur   corresponding to the gene: ENSMICG00000009822 
%              exon_id   gene_from     gene_to  coding   canon    source  maps_to_human_exon
    ENSMICE00000116304            0          44     1       1            ensembl_projection   ENSE00001340022 
    ENSMICE00000116313        12262       12438     1       1            ensembl_projection   ENSE00002937575 
