ENSG00000263185 	 ENST00000571438 	 ENSE00002722659
ENSG00000263185 	 ENST00000571438 	 ENSE00002649201
ENSG00000263185 	 ENST00000571438 	 ENSE00002678553
ENSG00000263185 	 ENST00000571438 	 ENSE00002683510
ENSG00000263185 	 ENST00000571438 	 ENSE00002674760
ENSG00000263185 	 ENST00000571438 	 ENSE00002897651
ENSG00000263185 	 ENST00000571438 	 ENSE00002768263
ENSG00000263185 	 ENST00000571438 	 ENSE00002682145
ENSG00000263185 	 ENST00000571438 	 ENSE00002816805
ENSG00000263185 	 ENST00000571438 	 ENSE00002953632
ENSG00000263185 	 ENST00000571438 	 ENSE00002657573
ENSG00000263185 	 ENST00000571438 	 ENSE00002640486
ENSG00000262909 	 ENST00000573633 	 ENSE00002643421
ENSG00000262909 	 ENST00000573633 	 ENSE00002660283
ENSG00000262909 	 ENST00000573633 	 ENSE00002650179
ENSG00000262909 	 ENST00000573633 	 ENSE00002969244
ENSG00000262909 	 ENST00000573633 	 ENSE00002802856
ENSG00000262909 	 ENST00000573633 	 ENSE00002830751
ENSG00000262909 	 ENST00000573633 	 ENSE00002756581
ENSG00000262909 	 ENST00000573633 	 ENSE00002900712
ENSG00000262909 	 ENST00000573633 	 ENSE00002768141
ENSG00000262909 	 ENST00000573633 	 ENSE00002852669
ENSG00000262909 	 ENST00000573633 	 ENSE00002804673
ENSG00000262909 	 ENST00000573633 	 ENSE00002768679
ENSG00000262909 	 ENST00000573633 	 ENSE00002850096
ENSG00000262909 	 ENST00000573633 	 ENSE00002828619
ENSG00000262909 	 ENST00000573633 	 ENSE00002963086
ENSG00000262909 	 ENST00000573633 	 ENSE00002799782
ENSG00000262909 	 ENST00000573633 	 ENSE00002794439
ENSG00000262909 	 ENST00000573633 	 ENSE00002766499
ENSG00000262909 	 ENST00000573633 	 ENSE00002707496
ENSG00000262840 	 ENST00000574833 	 ENSE00002636248
ENSG00000262840 	 ENST00000574833 	 ENSE00002681382
ENSG00000262840 	 ENST00000574833 	 ENSE00002673498
ENSG00000262840 	 ENST00000574833 	 ENSE00002653747
ENSG00000262840 	 ENST00000574833 	 ENSE00002665205
ENSG00000262840 	 ENST00000574833 	 ENSE00002672135
ENSG00000262840 	 ENST00000574833 	 ENSE00002652186
ENSG00000262840 	 ENST00000574833 	 ENSE00002679620
ENSG00000262840 	 ENST00000574833 	 ENSE00002634859
ENSG00000262840 	 ENST00000574833 	 ENSE00002643668
ENSG00000262840 	 ENST00000574833 	 ENSE00002662795
ENSG00000262840 	 ENST00000574833 	 ENSE00002639147
ENSG00000262199 	 ENST00000570888 	 ENSE00002646543
ENSG00000262199 	 ENST00000570888 	 ENSE00002946734
ENSG00000262199 	 ENST00000570888 	 ENSE00002851313
ENSG00000262199 	 ENST00000570888 	 ENSE00002898317
ENSG00000262199 	 ENST00000570888 	 ENSE00002914125
ENSG00000262199 	 ENST00000570888 	 ENSE00002796012
ENSG00000262199 	 ENST00000570888 	 ENSE00002762700
ENSG00000262199 	 ENST00000570888 	 ENSE00002847343
ENSG00000262199 	 ENST00000570888 	 ENSE00002796853
ENSG00000262199 	 ENST00000570888 	 ENSE00002776490
ENSG00000262199 	 ENST00000570888 	 ENSE00002844148
ENSG00000262199 	 ENST00000570888 	 ENSE00002868927
ENSG00000262199 	 ENST00000570888 	 ENSE00002788335
ENSG00000262199 	 ENST00000570888 	 ENSE00002948173
ENSG00000262199 	 ENST00000570888 	 ENSE00002863825
ENSG00000262199 	 ENST00000570888 	 ENSE00002906402
ENSG00000262199 	 ENST00000570888 	 ENSE00002669994
ENSG00000262199 	 ENST00000570888 	 ENSE00002634514
ENSG00000262199 	 ENST00000570888 	 ENSE00002647785
ENSG00000261843 	 ENST00000574891 	 ENSE00002734357
ENSG00000261843 	 ENST00000574891 	 ENSE00002921134
ENSG00000261843 	 ENST00000574891 	 ENSE00002778451
ENSG00000261843 	 ENST00000574891 	 ENSE00002747157
ENSG00000261843 	 ENST00000574891 	 ENSE00002955492
ENSG00000261843 	 ENST00000574891 	 ENSE00002819181
ENSG00000261843 	 ENST00000574891 	 ENSE00002920544
ENSG00000261843 	 ENST00000574891 	 ENSE00002813355
ENSG00000261843 	 ENST00000574891 	 ENSE00002874386
ENSG00000261843 	 ENST00000574891 	 ENSE00002883812
ENSG00000261843 	 ENST00000574891 	 ENSE00002672463
ENSG00000261843 	 ENST00000574891 	 ENSE00002640109
ENSG00000261843 	 ENST00000587968 	 ENSE00002630825
ENSG00000261843 	 ENST00000587968 	 ENSE00002778451
ENSG00000261843 	 ENST00000587968 	 ENSE00002747157
ENSG00000261843 	 ENST00000587968 	 ENSE00002955492
ENSG00000261843 	 ENST00000587968 	 ENSE00002819181
ENSG00000261843 	 ENST00000587968 	 ENSE00002920544
ENSG00000261843 	 ENST00000587968 	 ENSE00002813355
ENSG00000261843 	 ENST00000587968 	 ENSE00002874386
ENSG00000261843 	 ENST00000587968 	 ENSE00002883812
ENSG00000261843 	 ENST00000587968 	 ENSE00002672463
ENSG00000261843 	 ENST00000587968 	 ENSE00002929357
ENSG00000261843 	 ENST00000587968 	 ENSE00002854992
ENSG00000261843 	 ENST00000576977 	 ENSE00002630825
ENSG00000261843 	 ENST00000576977 	 ENSE00002778451
ENSG00000261843 	 ENST00000576977 	 ENSE00002747157
ENSG00000261843 	 ENST00000576977 	 ENSE00002955492
ENSG00000261843 	 ENST00000576977 	 ENSE00002819181
ENSG00000261843 	 ENST00000576977 	 ENSE00002920544
ENSG00000261843 	 ENST00000576977 	 ENSE00002813355
ENSG00000261843 	 ENST00000576977 	 ENSE00002874386
ENSG00000261843 	 ENST00000576977 	 ENSE00002883812
ENSG00000261843 	 ENST00000576977 	 ENSE00002672463
ENSG00000261843 	 ENST00000576977 	 ENSE00002640109
ENSG00000261843 	 ENST00000573468 	 ENSE00002637124
ENSG00000261843 	 ENST00000573468 	 ENSE00002778451
ENSG00000261843 	 ENST00000573468 	 ENSE00002747157
ENSG00000261843 	 ENST00000573468 	 ENSE00002955492
ENSG00000261843 	 ENST00000573468 	 ENSE00002819181
ENSG00000261843 	 ENST00000573468 	 ENSE00002920544
ENSG00000261843 	 ENST00000573468 	 ENSE00002813355
ENSG00000261843 	 ENST00000573468 	 ENSE00002874386
ENSG00000261843 	 ENST00000573468 	 ENSE00002883812
ENSG00000261843 	 ENST00000573468 	 ENSE00002672463
ENSG00000261843 	 ENST00000573468 	 ENSE00002808493
ENSG00000261843 	 ENST00000576289 	 ENSE00002760837
ENSG00000261843 	 ENST00000576289 	 ENSE00002825666
ENSG00000261843 	 ENST00000576289 	 ENSE00002773622
ENSG00000261843 	 ENST00000576289 	 ENSE00002747157
ENSG00000261843 	 ENST00000576289 	 ENSE00002955492
ENSG00000261843 	 ENST00000576289 	 ENSE00002819181
ENSG00000261843 	 ENST00000576289 	 ENSE00002920544
ENSG00000261843 	 ENST00000576289 	 ENSE00002813355
ENSG00000261843 	 ENST00000576289 	 ENSE00002874386
ENSG00000261843 	 ENST00000576289 	 ENSE00002883812
ENSG00000261843 	 ENST00000576289 	 ENSE00002672463
ENSG00000261843 	 ENST00000576289 	 ENSE00002969872
ENSG00000261843 	 ENST00000586105 	 ENSE00002828920
ENSG00000261843 	 ENST00000586105 	 ENSE00002773622
ENSG00000261843 	 ENST00000586105 	 ENSE00002747157
ENSG00000261843 	 ENST00000586105 	 ENSE00002955492
ENSG00000261843 	 ENST00000586105 	 ENSE00002819181
ENSG00000261843 	 ENST00000586105 	 ENSE00002920544
ENSG00000261843 	 ENST00000586105 	 ENSE00002813355
