ENSG00000248643 	 ENST00000412278 	 ENSE00002767281
ENSG00000248643 	 ENST00000412278 	 ENSE00002950714
ENSG00000248643 	 ENST00000412278 	 ENSE00002955236
ENSG00000248643 	 ENST00000500635 	 ENSE00002052569
ENSG00000248643 	 ENST00000500635 	 ENSE00002906436
ENSG00000248643 	 ENST00000503028 	 ENSE00002829692
ENSG00000248643 	 ENST00000503028 	 ENSE00002950304
ENSG00000248643 	 ENST00000503028 	 ENSE00002814953
ENSG00000248643 	 ENST00000514361 	 ENSE00002927386
ENSG00000248643 	 ENST00000514361 	 ENSE00002950304
ENSG00000248643 	 ENST00000514361 	 ENSE00002950714
ENSG00000248643 	 ENST00000514361 	 ENSE00002821928
ENSG00000259112 	 ENST00000530054 	 ENSE00002187792
ENSG00000259112 	 ENST00000530054 	 ENSE00002802766
ENSG00000259112 	 ENST00000530054 	 ENSE00002200693
ENSG00000137674 	 ENST00000260228 	 ENSE00000930310
ENSG00000137674 	 ENST00000260228 	 ENSE00000930309
ENSG00000137674 	 ENST00000260228 	 ENSE00000930308
ENSG00000137674 	 ENST00000260228 	 ENSE00000930307
ENSG00000137674 	 ENST00000260228 	 ENSE00000930306
ENSG00000137674 	 ENST00000260228 	 ENSE00002970291
ENSG00000137674 	 ENST00000260228 	 ENSE00000930304
ENSG00000137674 	 ENST00000260228 	 ENSE00000930303
ENSG00000137674 	 ENST00000260228 	 ENSE00002759603
ENSG00000137674 	 ENST00000260228 	 ENSE00000930301
ENSG00000254445 	 ENST00000527616 	 ENSE00002863717
ENSG00000254445 	 ENST00000527616 	 ENSE00002840075
ENSG00000254445 	 ENST00000527616 	 ENSE00002846864
ENSG00000259159 	 ENST00000530681 	 ENSE00002161257
ENSG00000259159 	 ENST00000530681 	 ENSE00002898636
ENSG00000259159 	 ENST00000530681 	 ENSE00002973702
ENSG00000259159 	 ENST00000530681 	 ENSE00002825239
ENSG00000259159 	 ENST00000530681 	 ENSE00002812729
ENSG00000259159 	 ENST00000530681 	 ENSE00002781518
ENSG00000259159 	 ENST00000530681 	 ENSE00002932128
ENSG00000259159 	 ENST00000530681 	 ENSE00002918249
ENSG00000259159 	 ENST00000530681 	 ENSE00002966843
ENSG00000259159 	 ENST00000530681 	 ENSE00002763777
ENSG00000259159 	 ENST00000530681 	 ENSE00002755726
ENSG00000259159 	 ENST00000530681 	 ENSE00002787050
ENSG00000259159 	 ENST00000530681 	 ENSE00002961913
ENSG00000259159 	 ENST00000530681 	 ENSE00002762174
ENSG00000259159 	 ENST00000530681 	 ENSE00002813277
ENSG00000205858 	 ENST00000401542 	 ENSE00002223036
ENSG00000205858 	 ENST00000401542 	 ENSE00002968913
ENSG00000205858 	 ENST00000401542 	 ENSE00001616029
ENSG00000205858 	 ENST00000401542 	 ENSE00001704300
ENSG00000205858 	 ENST00000401542 	 ENSE00001659617
ENSG00000205858 	 ENST00000401542 	 ENSE00001603645
ENSG00000205858 	 ENST00000401542 	 ENSE00001789244
ENSG00000205858 	 ENST00000401542 	 ENSE00001491000
ENSG00000205858 	 ENST00000401542 	 ENSE00001563772
ENSG00000256646 	 ENST00000442788 	 ENSE00002969330
ENSG00000256646 	 ENST00000442788 	 ENSE00002813150
ENSG00000256646 	 ENST00000442788 	 ENSE00002840692
ENSG00000256646 	 ENST00000442788 	 ENSE00002847800
ENSG00000256646 	 ENST00000442788 	 ENSE00002767378
ENSG00000256646 	 ENST00000442788 	 ENSE00002936158
ENSG00000256646 	 ENST00000442788 	 ENSE00002853361
ENSG00000256646 	 ENST00000442788 	 ENSE00001763681
ENSG00000256646 	 ENST00000442788 	 ENSE00002712387
ENSG00000234444 	 ENST00000423484 	 ENSE00001804551
ENSG00000234444 	 ENST00000423484 	 ENSE00002880877
ENSG00000234444 	 ENST00000423484 	 ENSE00002432757
ENSG00000234444 	 ENST00000423484 	 ENSE00001713499
ENSG00000234444 	 ENST00000355095 	 ENSE00001688691
ENSG00000234444 	 ENST00000355095 	 ENSE00001795809
ENSG00000234444 	 ENST00000355095 	 ENSE00002880877
ENSG00000234444 	 ENST00000355095 	 ENSE00002432757
ENSG00000234444 	 ENST00000355095 	 ENSE00002304566
ENSG00000240720 	 ENST00000458448 	 ENSE00001718352
ENSG00000240720 	 ENST00000458448 	 ENSE00002941504
ENSG00000240720 	 ENST00000458448 	 ENSE00002944201
ENSG00000240720 	 ENST00000458448 	 ENSE00002954257
ENSG00000240720 	 ENST00000458448 	 ENSE00001686721
ENSG00000240720 	 ENST00000458448 	 ENSE00001607657
ENSG00000240720 	 ENST00000430130 	 ENSE00002941504
ENSG00000240720 	 ENST00000430130 	 ENSE00002944201
ENSG00000240720 	 ENST00000430130 	 ENSE00002954257
ENSG00000240720 	 ENST00000430130 	 ENSE00001686721
ENSG00000240720 	 ENST00000430130 	 ENSE00001619337
ENSG00000248919 	 ENST00000413834 	 ENSE00002824549
ENSG00000248919 	 ENST00000413834 	 ENSE00002871510
ENSG00000248919 	 ENST00000413834 	 ENSE00002779303
ENSG00000248919 	 ENST00000413834 	 ENSE00002857742
ENSG00000248919 	 ENST00000413834 	 ENSE00002844551
ENSG00000248919 	 ENST00000413834 	 ENSE00002924128
ENSG00000248919 	 ENST00000413834 	 ENSE00002816063
ENSG00000248919 	 ENST00000413834 	 ENSE00002845697
ENSG00000248919 	 ENST00000413834 	 ENSE00002835136
ENSG00000267645 	 ENST00000476151 	 ENSE00001824740
ENSG00000267645 	 ENST00000476151 	 ENSE00002901182
ENSG00000267645 	 ENST00000476151 	 ENSE00002856725
ENSG00000267645 	 ENST00000476151 	 ENSE00002779771
ENSG00000267645 	 ENST00000476151 	 ENSE00002823273
ENSG00000267645 	 ENST00000476151 	 ENSE00002974765
